"","genes","logFC","logCPM","F","PValue","FDR"
"5821","Ctif",-0.0781164902485011,4.78991230476515,0.987809425954006,0.328057680854125,0.353571130657106
"18094","Gm4285",0.220595672478689,1.64341867308646,0.985772478679866,0.328549103777656,0.354070970701303
"8044","Fgr",-0.26634306138193,1.27159542262754,0.980457595284087,0.329836105256631,0.355428033982257
"26402","Nsun3",0.0993407839609968,4.18001089086213,0.976411750537712,0.330820450361292,0.356458756889629
"5208","Cks2",0.050082088590456,6.37482350618653,0.975938656467908,0.330935816469324,0.356553060991981
"20043","Il13ra1",-0.0622201258784598,5.97269702214262,0.97299649196063,0.331818888940365,0.357474412996919
"25956","Ndufaf7",-0.111834032032759,3.67827454532113,0.971589772906488,0.331998906346988,0.357638259928761
"802","3010026O09Rik",0.136454338814276,3.1119115841594,0.965654334329487,0.333457427865709,0.359179202878567
"2642","Akap8",-0.0430364997374003,7.04738923645481,0.963899066614485,0.333890442057974,0.359589893608081
"9410","Gm14410",0.457430773215826,-0.0373804004296704,0.963881125904284,0.333894871925036,0.359589893608081
"20241","Irf2bp1",-0.0584826191604391,5.62619578287268,0.960475293651783,0.334737299972582,0.360466834256909
"4389","Cbx7",-0.104025825112912,3.89363716045822,0.958567680149044,0.335210426983553,0.360922329307997
"20188","Ints3",0.0415007392175902,7.45930533671869,0.958542595538363,0.335216654623975,0.360922329307997
"33629","Tnfrsf1b",-0.0797366110178398,5.35814872561269,0.967363945487903,0.335496614735915,0.361193387564603
"6535","Dip2c",-0.0577349361671532,6.31640568091521,0.957536840984039,0.33571602393817,0.361390446327735
"3742","Bbs2",0.102214637017561,3.89604177439127,0.956452562177988,0.335736099142111,0.361390446327735
"25497","Msh5",0.25374456154197,1.27878432818554,0.955194006636792,0.336049429417511,0.361697313918738
"3197","Armt1",0.0784735802526213,4.96548426830931,0.953734395533899,0.336510973630271,0.362163642405079
"31173","Sik3",0.0694063992439183,5.71138684027231,0.95776651377756,0.336752230709378,0.362392832526564
"17822","Gm42056",0.328327351211085,0.648579040419734,0.951907575523205,0.336869527578642,0.362488596692816
