"","Uninfected_1","Uninfected_2","Uninfected_3","IC2_1","IC2_2","IC2_3","NQY_1","NQY_2","NQY_3"
"Plcd3",10.3691939375862,9.94515612201834,10.4713183151699,12.8974606178361,14.8980626900432,13.6614737823112,12.4743126498015,13.9947297533455,15.4632825953495
"Plce1",76.6946686734982,68.6393364492873,80.361280093164,33.2273561679847,30.6038516705104,25.6039541747952,26.4672372743615,35.386673804888,29.568303881648
"Plcg1",14.9465858559802,15.4505104038499,15.504044947267,25.4670196945409,28.0909254336356,28.3181542639961,27.2265432617407,25.9902123990703,23.0904422538665
"Plcg2",632.89449483916,621.217073478931,617.564261564436,180.783049677127,172.13544722592,174.161172390391,169.542179753389,172.834912453817,172.290222971158
"Plch2",0,0,0,0.983704623394282,0.807726290424027,1.08568003568036,1.95250111040372,1.09958590919143,0.940334752419902
"Plcl1",0,0,0,8.19753852828569,6.37206295778955,5.42840017840181,8.67778271290541,8.0969507858642,6.68682490609708
"Plcl2",66.7925555439114,71.9247898110255,65.4254462172628,68.9686241513102,66.4130505459756,68.7597355930895,67.9036497284848,70.3734981882518,63.3158733296067
"Plcxd2",2.80248484799628,2.04230884648591,2.59753632624368,12.0230565081523,14.0903363996191,13.2091071007777,14.5352860441166,16.2938639271094,12.7467599772476
"Pld2",37.64671312475,41.8229333345593,37.7454497407285,7.10453339118093,7.53877871062425,6.42360687777547,8.46083814508277,8.89664962891251,7.41819638020145
"Pld3",16.7214929263778,15.5393064406537,17.0463321409742,35.7412679833256,35.4502094130545,36.2798078589854,36.7721042459367,35.6865608710311,36.777536983534
"Pld4",455.777452445795,443.624999871461,462.929677142742,9.83704623394282,9.06448392586964,8.86638695805628,9.43708870028463,9.89627318272291,9.82127408083009
"Plec",49.6039818095342,54.6095626342971,51.1389964229225,17.925284248518,22.8855782286808,19.99460732378,16.4877871545203,25.390438266784,17.1349888218738
"Plek",631.960333223161,652.739666544257,586.637344680097,246.800559958254,242.407634492811,241.473334602574,281.485576749869,269.798397173425,269.562629027039
"Plek2",0.186832323199752,0.17759207360747,0.405865050975576,1.63950770565714,2.78216833368276,1.62852005352054,1.73555654258108,2.7989459506691,2.40307770062864
"Plekha1",141.058404015813,137.545061008986,140.997518708915,86.1288048038549,83.6445447416882,90.0209696251633,84.2829645990938,91.7654422397942,86.6152788617888
"Plekha2",706.132765533463,687.725305044929,689.889413648283,362.98700603249,345.168368107868,350.85559819737,348.412975923152,335.173777592625,348.759711508626
"Plekha3",21.6725494911712,22.5541933481487,23.6213459667785,47.545723464057,46.9378722101962,43.4272014272144,43.1719689967044,47.5820811613748,44.3002150028932
"Plekha5",105.093181799861,109.219125268594,107.960103559503,38.364480312377,37.6041461875186,36.2798078589854,37.7483548011385,43.4836245907522,38.3447615709005
