"","genes","logFC","logCPM","F","PValue","FDR"
"34588","Vhl",-1.2523570373234,5.93245916099928,468.294273341326,3.9392205150146e-20,3.8126771500198e-19
"3843","Bid",-1.28327251148217,5.86889795753368,467.897117582381,3.98770101941944e-20,3.85668516266359e-19
"6704","Dnph1",1.60700159300004,5.92266636721081,501.883721196519,4.00604677573982e-20,3.87150407270554e-19
"23623","Mapre1",-0.918775242106197,7.65058635958998,467.708178798919,4.01098737671783e-20,3.87335545692849e-19
"4342","Casp7",0.986221784266335,7.07159357561991,467.16940299019,4.07818952574599e-20,3.93528386414298e-19
"28564","Pkp2",10.2028387276425,3.12064228216955,536.78953311917,4.17335093539472e-20,4.02407821744951e-19
"35288","Yrdc",1.62158699604028,6.04210614910275,538.578916675085,4.19767544139171e-20,4.04147615948465e-19
"4388","Cbx6",-1.06428953441573,6.73721386595814,466.234169960109,4.19770659282669e-20,4.04147615948465e-19
"20133","Impdh2",-0.953652267112799,6.93025506538919,466.104927975008,4.21451415843512e-20,4.05460960171012e-19
"33684","Tns3",-1.62229577013728,6.54528884426812,681.52977019172,4.33415622081044e-20,4.16658186242325e-19
"19656","Homer3",1.30690978035714,5.93733149142884,464.722981553026,4.39878137460053e-20,4.22553604664364e-19
"19391","Hdac1",-0.896277661606723,7.35380695674454,464.530350688489,4.4251405006582e-20,4.24767047308308e-19
"6087","D030056L22Rik",1.42394936757461,6.22021095669723,486.517475031916,4.43088081432879e-20,4.2499946687251e-19
"35233","Xpnpep1",-0.938117837548034,7.09548427860686,463.658561248771,4.54655552615443e-20,4.35768289763529e-19
"30209","Rnf187",-0.980419146799991,6.96799840443007,463.473513595767,4.57278100329282e-20,4.37954081878569e-19
"33752","Tppp",4.59494653308165,3.06370479261789,462.935958607184,4.64988293440227e-20,4.45005612668319e-19
"3565","B4galt5",1.23586250339316,6.31088205330202,462.894934506136,4.65582365919662e-20,4.45241388767832e-19
"27819","Ostf1",-1.07962530883008,6.7994248080781,462.843633663668,4.66326394418614e-20,4.4562011048734e-19
"23368","Lsm8",1.2909216501488,6.22745508150079,462.72979092445,4.67982010874397e-20,4.46868728504598e-19
"5313","Clk1",0.88801648977548,7.29612395711825,461.874891750153,4.80616679838928e-20,4.585913998016e-19
"19169","Gstt1",8.1440514534546,2.96574167670263,461.643198967429,4.84103132500598e-20,4.61574133408054e-19
"18855","Gng10",-1.31322802637803,5.90384881804604,461.166598552309,4.91359885248132e-20,4.68144593050769e-19
"30367","Rpl7a",-0.939771038638374,7.74557136499091,466.126797734082,4.92792926931039e-20,4.69160849765945e-19
"28432","Pi4k2b",0.961335743480935,7.18102478519771,460.672608179984,4.99003858531897e-20,4.74720981315077e-19
"35774","Zfp90",-1.66844382444707,4.84682022700986,460.622008007738,4.99793964187264e-20,4.75045839481473e-19
